Happiness Bar	Cuvée des Trolls;Delirium Tremens;Chouffe				75002	"{""addr:housenumber"": ""55"", ""internet_access"": ""no"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue R\u00e9aumur""}"
Café Rhum Marin	Leffe	http://rhum-marin.fr	+33 1 43 57 27 07	Mardi-Samedi 17h00-02h00		"{""addr:housenumber"": ""88"", ""addr:street"": ""Rue Saint-Maur""}"
The Frog & Princess	Inseine;Maison Blanche;Ginger Twist;Dark de Triomphe	https://www.frogpubs.com/fr/pub-princess-paris.php	+33 1 40 51 77 38			"{""operator"": ""FrogPubs"", ""microbrewery"": ""yes"", ""internet_access"": ""wlan""}"
Au Bar Le Surène	1664;Leffe;Stella Artois					"{""shop"": ""brewery""}"
La Tireuse	Brewdog Punk IPA;Carolus Triple;Grolsch;Kasteel Rouge;Page 24 réserve Blonde Hildegarde;Page Brune;Saint Bernardus;St. Stefanus;Tripel Karmeliet		33143544232		75005	"{""addr:housenumber"": ""18"", ""addr:street"": ""Rue Laplace"", ""addr:city"": ""Paris"", ""addr:country"": ""FR""}"
Outland Bar	Outland	https://outland-beer.com/	+33 1 46 59 04 28	Lundi-Samedi 17h00-02h00; Dimanche 17h00-00h00	75011	"{""addr:housenumber"": ""6"", ""source"": ""survey"", ""addr:city"": ""Paris"", ""operator"": ""Outland"", ""email"": ""contact@outland-beer.com"", ""addr:street"": ""Rue \u00c9mile Lepeu""}"
Ground Control	yes	https://www.groundcontrolparis.com/		Mardi-Samedi 11h00-24h00, Dimanche 11h00-22h00	75012	"{""addr:housenumber"": ""81"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue du Charolais""}"
The Wall	Chouffe;Grimbergen;Guinness;Leffe;Wall Lager				75005	"{""addr:housenumber"": ""51"", ""addr:city"": ""Paris"", ""smoking"": ""outside"", ""addr:street"": ""Rue Lac\u00e9p\u00e8de"", ""addr:country"": ""FR"", ""internet_access"": ""no""}"
The Frog & Rosbif	Inseine;Maison Blanche;Ginger Twist;Dark de Triomphe	https://www.frogpubs.com/fr/pub-rosbif-paris.php	+33 1 42 36 34 73			"{""microbrewery"": ""yes"", ""room"": ""pub"", ""level"": ""0"", ""operator"": ""FrogPubs"", ""indoor"": ""room"", ""terrace"": ""yes""}"
Le Dernier Bar Avant la Fin du Monde	guinness;carlsberg;kronenbourg;grimbergen	www.dernierbar.com	+33 1 53 00 98 95			"{""diet:vegetarian"": ""yes"", ""diet:vegan"": ""yes"", ""internet_access"": ""wlan""}"
The Quiet Man	Guinness;Smithwick's			Lundi-Samedi 17h00-02h00		
L'Assassin	leffe;carlsberg;hoegaarden	https://www.lassassin.fr	+33 1 49 23 08 96	Lundi-Dimanche 09h00-02h00		"{""addr:housenumber"": ""99"", ""addr:street"": ""Rue Jean-Pierre Timbaud""}"
The Local	tripel_karmeliet;guinness;grimbergen;Polar		+33 1 43 31 06 84	Lundi-Vendredi 10h00-02h00; Samedi 14h00-02h00		"{""internet_access"": ""no""}"
L'HyperBol	various			Mardi-Samedi 18h00-03h00	75001	"{""addr:housenumber"": ""14"", ""outdoor_seating"": ""no"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue des Pr\u00eacheurs""}"
O'Sullivans Rebel Red	Guinness;Carlsberg;Grimbergen;Heineken			Dimanche-Jeudi 17h00-02h00, Vendredi-Samedi 17h00-05h00	75004	"{""addr:housenumber"": ""10"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue des Lombards""}"
Kouto	yes	https://kouto.business.site/	+33 6 49 28 28 45	Mardi-Samedi 18h00-02h00	75010	"{""addr:housenumber"": ""40"", ""cuisine"": ""tapas"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue d'Enghien""}"
The Green Linnet	Guinness					"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre ; mise \u00e0 jour : 2010""}"
Le Rota	Amstel;H-Beer;Leffe					
L’Antidote	1664;1664 Blanche;Carlsberg;Grimbergen;Grimbergen Double Ambrée;Guinness;Kilkenny;Kronenbourg	http://www.lantidote-paris.com	33143546978		75005	"{""addr:housenumber"": ""45"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue Descartes"", ""addr:country"": ""FR"", ""internet_access"": ""no""}"
Pop In	Smithwick's;Guinness	http://popin.fr/	+331 48 05 56 11	Lundi-Dimanche  18h30-01h30	75011	"{""addr:housenumber"": ""105"", ""brewery:note"": ""Petrol Custom IPA"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue Amelot"", ""internet_access"": ""no""}"
Mc Brides	guinness;carlsberg					"{""source"": ""survey 2013""}"
